Filename	Description 	Need1	Technology1	Need2	Technology2	Need3	Technology3	Need4	Technology4	Need5	Technology5	Need6	Technology6	Need7	Technology7	Public Input: Submission to WHS	Public Input: Survey Results	Public Input: Stakeholder Consultation Report	Public Input: External Conference Report	Public Input: Key document	WHS Output: Stakeholder Analysis Report	WHS Output: Co-Chairs Summary	WHS Output: Thematic report	WHS Output: Online consultation report	Stakeholder Group: Affected communities	Stakeholder Group: Civil society groups	Stakeholder Group: Local NGOs	Stakeholder Group: Member States	Stakeholder Group: UN Agency	Stakeholder Group: INGOs	Stakeholder Group: Regional bodies	Stakeholder Group: Academia	Stakeholder Group: Multiple stakeholders	WCA Documents	NSEA Documents	EOG Documents	MENA Documents	LAC Documents	Pacific Region	Global Documents	National Context: Bahrain	National Context: Barbados	National Context: Trinidad and Tobago	National Context: Congo	National Context: Japan	National Context: New Zealand	National Context: Samoa	National Context: Solomon Islands
"60 64-65-66-67-Aus, Samoa, Tuvalu PNG report (separated by countries).pdf"	"Pg. 11/14: TRANSFORMATION THROUGH INNOVATION
 Transformation through innovation is important, as noting this helps understand models and its effectiveness. Models or ideas that are sustainable can bring about a major drive and commitment to invest. The proposals therefore should provide better communication, strategy, planning, and long term effectiveness. During the course of consultation stakeholder were interviewed to provide suggestions on new approaches or innovations that have potential to improve disaster response, which include:
 • Australia Red Cross- Survey and record location of elderly, disable and women.
 Tuvalu RC every year before Christmas communicates with the Ministry of Health nurses to get information and data about the vulnerable groups. However this data requires more location specific entry.
 • Tuvalu RC- Recording traditional knowledge of conservation of food, to preserve food during disaster is important and should be recorded.
 • Samoa RC- Recording traditional copying mechanism, and using these approaches during disaster.
 • The Tuvalu Red Cross is working with the Meteorological department (MET) on a
 FINPAC project. This project aims at conveying information regarding the weather, and early warning system using simple language to the residents. A survey has already been conducted and the second stage includes placing notice boards around the area of Teone, a small area to the north of Funafuti. Teone area is an informal settlement of people who have moved in to Funafuti in search of employment. The area is most vulnerable to disaster as it is location on a narrow strip, 1-2km wide with both sides facing the sea. Similar recommendation is also made by Samoa Red
 Cross, as it has been considered that translating technical language to communities is effective.
 Most effective mode of communication
 • Tuvalu RC- Mobile phones are recommended are an efficient mode of communication and awareness
 • Samoa RC- Making use of media as an effective means of communication for early warning system and disseminating information. Prepositioning of stocks before disaster.
 • Australia RC- Development of system for tracking spread of disease and epidemiology."	Communication	Mobile	Early Warning	Media	Early Warning	Data Analytics											x															x															
76 7_CSO_10_Mar_FJI.pdf	"Pg. 4/6: 5. Can you suggest or recommend ways disaster assistance in the Pacific can be improved?
 • GIS system in every community through mobiles, computers o Reliable sources of data
 • The monitoring analysis shared extensively with key stakeholders from reflections of lessons learnt, especially after disaster
 • Monitoring to be carried out at regular consultations for shared learnings.
 • Create awareness, education to the household level, schools, from early childhood curriculum
 • Greater visibility of key local responders by regional and informational response agencies.
 • Designated centres in the community for education, centres for information
 • Good governance and greater transparency.
Pg. 4-5/6: 7. What new approaches or innovations have the potential to improve disaster response?
 • Use of GIS, navigation system to all Pacific Islands. Use of solar power. • Community mapping of disabled; create community stats. Use of a colour system, visual warning for deaf. • Community mapping of most prone areas; create a database. • The use of early warning systems o Partnership with other actors eg Vodafone: use of SMS. o Social networks. • Training of communities in disaster preparedness: national, district, divisional, business houses o Include first-hand knowledge about disabled people. o Reflect on cultures, traditional knowledge to be valued, recorded and transmitted. o Invest and engage youth, including schools, so they can be first respondents in time of disaster (use of fun session, song, drama for school children). o To untie livestock. • Establish a safety net for community funding (reserve)
 • Develop mitigation approaches."	Alternative Energy	Solar Power	Build Resilience	Risk Management	Early Warning	Mobile	Communication	Social Media									x															x															
ESA Preparatory Stakeholder Consultations.pdf	"Pg. 19/32: Information, Communication and Technology: A large number of stakeholders, 38 per cent of respondents to the regional stakeholder survey and 43 per cent of respondents to the private sector survey, agreed that there should be greater and wider use of information and communication technologies, such as mobile phones, internet, and social media in disseminating or improving humanitarian action, especially in communicating with communities. Data and information management were seen as key contributors to effective humanitarian action, for example by collecting and sharing needs assessments and conducting local capacity mappings. Stakeholders noted how in Madagascar a community-level text message system supported by national telecom operators provided both early warning and post-disaster rapid data collection within 48 hours. Better information collection was demanded, for example, on civil society organizations roles and capacities, with a suggestion from Eastern Africa to compile a ""Yellow Pages of NGs"".
Pg. 20/32: se of traditional communication platforms:
 Although stakeholders from within the humanitarian community recognized the potential value of using new technologies to communicate, the large majority, of participants to the community consultations for
 Southern Africa identified more traditional methods as better forms of communicating with disaster- and conflict-affected communities. These included face- to-face communication, radio and television programmes in local languages, and the dissemination of information at community centres, such as city halls and places of worship.
 Stakeholders in Zimbabwe mentioned ""village criers"" as a method used in Eastern and Southern
 Africa to communicate and share information in remote communities. As another traditional information sharing system, Ethiopian stakeholders mentioned the verbal communication tradition referred to as Dagu, used by the Afar people.
 Stakeholders suggested that traditional communication systems should not be seen as a hindrance but an inspiration for improving knowledge exchange. They further suggested that new communication technologies could be developed hand-in-hand with oral traditions."	Communication	Mobile	Communication	Social Media	Damage & Need Assessment	Data Analytics											x																														
Tarrytown summary WHS comments.doc	"Pg. 4/5: A point was made on highlighting innovative achievements in the region in the regional consultation in Tokyo, Japan. The regional consultation could identify the kinds of innovation in the region, and use them as a platform for cooperation in research and development, capacity building, knowledge and best practices sharing and public-private partnership. Mobile technology is an example of innovation whereby real time data could be posted to enable authorities to mobilize action for to the affected people and communities. In the aftermath of typhoon Haiyan, data mining and crowdsourcing became a useful tool that was used in the humanitarian efforts."	Damage & Need Assessment	Data Analytics	Damage & Need Assessment	Crowdsourcing													x										x							x													
WHS MENA UN and INGO Roundtable_4 February'15.pdf	"Pg. 3/4: One way to innovate the current humanitarian architecture is to invest in managerial skills.
 New set of skills and competences need to be introduced in the discourse in order to tackle new humanitarian challenges.
Pg. 4/4: Examples for successful innovation include the work of UNICEF in the Syrian crisis in developing different strategies to provide education such as providing Syrian children with computers for interactive learning in Lebanon and the implementation of a self-learning format to address the constraints that children face to access education by UNRWA."	Education/Awareness	Interactive Learning															x																														
WHS NSEA Preparatory Stakeholder Consultation Report_2.pdf	"Pg. 8/12: Information: When asked what innovations had the biggest potential to improve disaster response, the most frequently selected answers (42 per cent) pointed to improved use of information and communication technology and better communication with affected communities. Moreover, lack of information on needs and gaps in response was identified by survey respondents as the biggest barrier that prevented them from initiating response.
Pg. 8/12: What innovations have the biggest potential to improve disaster
 response?
 Improved use of information and communications technologies - mobile phones, internet and social media
 Better communication with and participation of affected communities in needs assessment/response planning
 Sharing and scaling-up local
 innovative approaches
 Improved logistics and delivery
 of assistance
 Implementation of accountability and feedback mechanisms involving affected communities
 More use of cash transfers and cash-
based systems
 Better use of local markets and
 market mechanisms to source aid
 Adoption of new technologies such as drones, robots, 3-D printers and medical innovations
 10% 20%
Pg. 9/12: Use of mobile phones and SMS: Use of group SMS was suggested by many respondents as an efficient way for real-time data collection.
 An example of specific innovation in this field was provided by an
 NGO network, which had opened a mobile group chat during the
 Typhoon Haiyan response (Philippines, 2013-14) allowing for real- time group information sharing.
 Use of modern technology: While workshop participants frequently discussed the need for increased use of modern technology, such as mobile applications, information platforms, unmanned aerial vehicles and mobile devices, the adoption of new technologies yielded only 4 per cent of total responses for having the highest potential to improve humanitarian action."	Communication	Mobile	Damage & Need Assessment	Data Analytics													x																	x													
10 [URD_ALNAP] Quality in Humanitarian Actions_ Thinking Ahead.pdf	"Pg. 5/8: Though the place of crisis-affected people in the humanitarian system is a recurring issue for the sector, the development of new communication technologies could finally have a major impact in this area in the coming years; particularly by encouraging direct circuit aid from citizen to citizen and rapid feedback systems (via social networks, SMS, email, etc.)."	Communication	Mobile	Communication	Social Media														x														x															
11 [WFP] Humanitarian Challenges_ Perspectives from the South and Islamic Countries.pdf	"Pg. 3/10: On the other hand, the conditions for delivering humanitarian aid and reaching out to populations in need of assistance have dramatically improved thanks to advances in technologies used for early warning, risk analysis and the delivery of humanitarian assistance. This includes electronic aid deliveries, which have made humanitarian aid more timely and appropriate."	Early Warning	Mobile	Build Resilience	Risk Management														x														x															
"1. Bahrain CS Consultation, May 25' 14_EN.pdf"	Pg. 2/3: Strengthen ties with media and promote humanitarian action through social media.	Education/Awareness	Social Media																x								x										x				x							
35 30_Multi_30-Apr_WSM_with comments.pdf	"Pg. 21/26: Response Agency Toolkit:
 The Samoa Disaster Management Office Training Toolkit for Response Agencies is a computer- based platform designed to provide Response Agencies with a series of planning tools to help prepare their personnel and agency systems for disasters and emergency events. It provides resources on how to develop an organisation preparedness and disaster plan and includes examples for public communication of disaster event information, data collection, situation reporting, and administration. It also provides useful external resources on international standards for relief management (Sphere), disaster planning, exercise management, and coordinated incident management systems. The Toolkit is being rolled out in Samoa through a series of one or two session workshops with each Response Agency depending on their individual agency needs.
Pg. 21/26: Social Media:
 The Disaster Management Office is making use of social media approaches for communication with communities on disaster management. The DMO’s official facebook is being used to push information out to inform the public of any impending threats and other information that relates to safety, general preparedness and share information on the progress of a situation or response. However this page needs to be used more to promote the value of investing in disaster risk reduction through day to day work and major national and community development projects and programmes."	Early Warning	Social Media	Education/Awareness	Portal														x									x																			x	
Innovation_ECHO_Summary.pdf	"Pg. 8/17: Index for Risk Management – InfoRM; tries to identify the countries at a high risk of humanitarian crises that are more likely to require international assistance. Different organisations expressed similar needs at the same time - the JRC took a role of bringing different actors together and stimulating collaboration on finding a solution
Pg. 9/17: Innovation in WFP - a mainstreamed approach to ensure operations are relevant, efficient and effective at three levels: o Technical (how to do better what we already do? Development of new tools) o Programmatic (what are the new approaches to provide more effective solutions?) o Paradigm shift (transform the way an organisation does its work) • Examples of innovation: o Common delivery of multi stakeholder assistance o Capacity to adapt response (e.g. easily move from one transfer to another) o Bottom-up approach and local responses (solutions coming from the community and households; e.g. agriculture value chain for nutrition"	Build Resilience	Risk Management																x																													
005-Key_messages.pdf	"Pg. 5/10: Though the place of crisis-affected people in the humanitarian system is a recurring issue for the sector, the development of new communication technologies could finally have a major impact in this area in the coming years; particularly by encouraging direct circuit aid from citizen to citizen and rapid feedback systems (via social networks, SMS, email, etc.)."	Communication	Mobile																	x							x					x								x								
